accession,scientificName,class,target_gene,sequence_length_bp,locality,title,database_source
OR450884.1,Rastrelliger kanagurta,Actinopterygii,COI,715,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR544554.1,Carcharhinus falciformis,Elasmobranchii,COI,671,Western Indian Ocean,"Carcharhinus falciformis voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR610770.1,Carcharhinus falciformis,Elasmobranchii,COI,699,Bay of Bengal,"Carcharhinus falciformis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR133276.1,Galeocerdo cuvier,Elasmobranchii,Control Region,933,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_679850,Sardinella longiceps,Actinopterygii,12S rRNA,444,Red Sea,"Sardinella longiceps voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR813191.1,Taeniura lymma,Elasmobranchii,COI,666,Bay of Bengal,"Taeniura lymma voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR662033.1,Mobula alfredi,Elasmobranchii,CYTB,926,Western Indian Ocean,"Mobula alfredi voucher specimen from Western Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR729782.1,Mobula alfredi,Elasmobranchii,CYTB,964,Gulf of Oman,"Mobula alfredi voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR245827.1,Chaetodon pictus,Actinopterygii,COI,657,Laccadive Sea,"Chaetodon pictus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR816396.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,402,Indian Ocean,"Carcharhinus falciformis voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR574300.1,Pempheris rhomboidea,Actinopterygii,12S rRNA,369,Gulf of Oman,"Pempheris rhomboidea voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR861887.1,Thunnus albacares,Actinopterygii,12S rRNA,379,Red Sea,"Thunnus albacares voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR760206.1,Epinephelus coioides,Actinopterygii,12S rRNA,383,Western Indian Ocean,"Epinephelus coioides voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR477672.1,Chaetodon pictus,Actinopterygii,12S rRNA,413,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_565715,Pampus argenteus,Actinopterygii,Control Region,892,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR447235.1,Nemipterus japonicus,Actinopterygii,12S rRNA,395,Laccadive Sea,"Nemipterus japonicus voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR414076.1,Pampus argenteus,Actinopterygii,COI,612,Red Sea,"Pampus argenteus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR230698.1,Lethrinus nebulosus,Actinopterygii,COI,680,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR541379.1,Katsuwonus pelamis,Actinopterygii,COI,713,Bay of Bengal,"Katsuwonus pelamis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR227997.1,Rhynchobatus djiddensis,Elasmobranchii,COI,681,Red Sea,"Rhynchobatus djiddensis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR790996.1,Lethrinus nebulosus,Actinopterygii,COI,633,Gulf of Oman,"Lethrinus nebulosus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR784547.1,Nemipterus japonicus,Actinopterygii,CYTB,961,Indian Ocean,"Nemipterus japonicus voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR189761.1,Sarda orientalis,Actinopterygii,16S rRNA,592,Red Sea,"Sarda orientalis voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR115018.1,Pempheris rhomboidea,Actinopterygii,16S rRNA,543,Red Sea,"Pempheris rhomboidea voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_883156,Mobula alfredi,Elasmobranchii,16S rRNA,537,Gulf of Oman,"Mobula alfredi voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR333409.1,Pampus argenteus,Actinopterygii,COI,648,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR363860.1,Carcharhinus falciformis,Elasmobranchii,COI,683,Bay of Bengal,"Carcharhinus falciformis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR448756.1,Scomberomorus commerson,Actinopterygii,COI,630,Arabian Sea,"Scomberomorus commerson voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR956253.1,Mobula alfredi,Elasmobranchii,COI,638,Indian Ocean,"Mobula alfredi voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR972281.1,Thunnus albacares,Actinopterygii,CYTB,826,Laccadive Sea,"Thunnus albacares voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR947167.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,373,Laccadive Sea,"Rhynchobatus djiddensis voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR361044.1,Galeocerdo cuvier,Elasmobranchii,COI,628,Red Sea,"Galeocerdo cuvier voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR571433.1,Katsuwonus pelamis,Actinopterygii,COI,714,Red Sea,"Katsuwonus pelamis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR368472.1,Lethrinus nebulosus,Actinopterygii,COI,619,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_676970,Scomberomorus commerson,Actinopterygii,COI,652,Red Sea,"Scomberomorus commerson voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR933600.1,Katsuwonus pelamis,Actinopterygii,COI,663,Western Indian Ocean,"Katsuwonus pelamis voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR213725.1,Sarda orientalis,Actinopterygii,12S rRNA,383,Laccadive Sea,"Sarda orientalis voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR969901.1,Lutjanus argentimaculatus,Actinopterygii,CYTB,994,Arabian Sea,"Lutjanus argentimaculatus voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR586228.1,Sardinella longiceps,Actinopterygii,CYTB,958,Gulf of Oman,"Sardinella longiceps voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR685703.1,Katsuwonus pelamis,Actinopterygii,12S rRNA,386,Bay of Bengal,"Katsuwonus pelamis voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR558859.1,Lethrinus nebulosus,Actinopterygii,COI,664,Indian Ocean,"Lethrinus nebulosus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR892834.1,Carcharhinus falciformis,Elasmobranchii,CYTB,833,Western Indian Ocean,"Carcharhinus falciformis voucher specimen from Western Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR776820.1,Sarda orientalis,Actinopterygii,16S rRNA,503,Red Sea,"Sarda orientalis voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR321444.1,Sardinella longiceps,Actinopterygii,12S rRNA,412,Laccadive Sea,"Sardinella longiceps voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_962633,Katsuwonus pelamis,Actinopterygii,16S rRNA,501,Laccadive Sea,"Katsuwonus pelamis voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR232785.1,Rhynchobatus djiddensis,Elasmobranchii,COI,664,Laccadive Sea,"Rhynchobatus djiddensis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR241287.1,Taeniura lymma,Elasmobranchii,COI,641,Arabian Sea,"Taeniura lymma voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR272495.1,Mobula alfredi,Elasmobranchii,CYTB,938,Arabian Sea,"Mobula alfredi voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR284638.1,Scomberomorus commerson,Actinopterygii,12S rRNA,357,Arabian Sea,"Scomberomorus commerson voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR884621.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,398,Gulf of Oman,"Rhynchobatus djiddensis voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR639265.1,Scomberomorus commerson,Actinopterygii,COI,719,Indian Ocean,"Scomberomorus commerson voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR995562.1,Taeniura lymma,Elasmobranchii,COI,611,Red Sea,"Taeniura lymma voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR576230.1,Sphyrna lewini,Elasmobranchii,COI,626,Western Indian Ocean,"Sphyrna lewini voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR418083.1,Lethrinus nebulosus,Actinopterygii,COI,609,Western Indian Ocean,"Lethrinus nebulosus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_282053,Mobula alfredi,Elasmobranchii,COI,664,Laccadive Sea,"Mobula alfredi voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR376871.1,Sphyrna lewini,Elasmobranchii,COI,608,Western Indian Ocean,"Sphyrna lewini voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR329595.1,Nemipterus japonicus,Actinopterygii,12S rRNA,362,Western Indian Ocean,"Nemipterus japonicus voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR934360.1,Mobula alfredi,Elasmobranchii,Control Region,1047,Red Sea,"Mobula alfredi voucher specimen from Red Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR177154.1,Sphyrna lewini,Elasmobranchii,16S rRNA,578,Indian Ocean,"Sphyrna lewini voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR257769.1,Rastrelliger kanagurta,Actinopterygii,COI,679,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR746083.1,Pampus argenteus,Actinopterygii,16S rRNA,531,Bay of Bengal,"Pampus argenteus voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR568347.1,Nemipterus japonicus,Actinopterygii,12S rRNA,400,Bay of Bengal,"Nemipterus japonicus voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR497037.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,350,Western Indian Ocean,"Rastrelliger kanagurta voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR326146.1,Carcharhinus falciformis,Elasmobranchii,COI,649,Indian Ocean,"Carcharhinus falciformis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_332028,Scomberomorus commerson,Actinopterygii,COI,605,Gulf of Oman,"Scomberomorus commerson voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR364268.1,Carcharhinus limbatus,Elasmobranchii,CYTB,860,Bay of Bengal,"Carcharhinus limbatus voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR949296.1,Chaetodon pictus,Actinopterygii,COI,614,Bay of Bengal,"Chaetodon pictus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR139442.1,Galeocerdo cuvier,Elasmobranchii,COI,608,Indian Ocean,"Galeocerdo cuvier voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR510162.1,Scomberomorus commerson,Actinopterygii,COI,617,Gulf of Oman,"Scomberomorus commerson voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR598377.1,Thunnus albacares,Actinopterygii,COI,699,Red Sea,"Thunnus albacares voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR542138.1,Thunnus albacares,Actinopterygii,12S rRNA,438,Gulf of Oman,"Thunnus albacares voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR392938.1,Rastrelliger kanagurta,Actinopterygii,CYTB,1059,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR740501.1,Epinephelus coioides,Actinopterygii,12S rRNA,428,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR914734.1,Sardinella longiceps,Actinopterygii,16S rRNA,552,Laccadive Sea,"Sardinella longiceps voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_425885,Pampus argenteus,Actinopterygii,16S rRNA,566,Red Sea,"Pampus argenteus voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR501727.1,Nemipterus japonicus,Actinopterygii,COI,671,Indian Ocean,"Nemipterus japonicus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR200611.1,Pampus argenteus,Actinopterygii,COI,677,Arabian Sea,"Pampus argenteus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR184868.1,Nemipterus japonicus,Actinopterygii,COI,677,Gulf of Oman,"Nemipterus japonicus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR841659.1,Scomberomorus commerson,Actinopterygii,COI,706,Bay of Bengal,"Scomberomorus commerson voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR200100.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,429,Indian Ocean,"Carcharhinus falciformis voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR646975.1,Sarda orientalis,Actinopterygii,COI,628,Red Sea,"Sarda orientalis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR621253.1,Rastrelliger kanagurta,Actinopterygii,COI,708,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR841224.1,Taeniura lymma,Elasmobranchii,COI,622,Arabian Sea,"Taeniura lymma voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR819884.1,Epinephelus coioides,Actinopterygii,12S rRNA,386,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_358164,Thunnus albacares,Actinopterygii,12S rRNA,431,Arabian Sea,"Thunnus albacares voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR530106.1,Carcharhinus falciformis,Elasmobranchii,CYTB,996,Arabian Sea,"Carcharhinus falciformis voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR998409.1,Scomberomorus commerson,Actinopterygii,COI,700,Gulf of Oman,"Scomberomorus commerson voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR955478.1,Thunnus albacares,Actinopterygii,12S rRNA,417,Bay of Bengal,"Thunnus albacares voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR126257.1,Rastrelliger kanagurta,Actinopterygii,COI,715,Laccadive Sea,"Rastrelliger kanagurta voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR476293.1,Thunnus albacares,Actinopterygii,COI,686,Arabian Sea,"Thunnus albacares voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR699901.1,Epinephelus coioides,Actinopterygii,COI,658,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR412224.1,Mobula alfredi,Elasmobranchii,COI,663,Gulf of Oman,"Mobula alfredi voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR673165.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,398,Bay of Bengal,"Rhynchobatus djiddensis voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR713161.1,Thunnus albacares,Actinopterygii,COI,659,Western Indian Ocean,"Thunnus albacares voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_177024,Rastrelliger kanagurta,Actinopterygii,COI,701,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR637136.1,Epinephelus coioides,Actinopterygii,COI,619,Bay of Bengal,"Epinephelus coioides voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR730589.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,429,Laccadive Sea,"Rhynchobatus djiddensis voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR808049.1,Pampus argenteus,Actinopterygii,12S rRNA,373,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR963421.1,Nemipterus japonicus,Actinopterygii,16S rRNA,597,Indian Ocean,"Nemipterus japonicus voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR791924.1,Mobula alfredi,Elasmobranchii,12S rRNA,439,Red Sea,"Mobula alfredi voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR377500.1,Mobula alfredi,Elasmobranchii,12S rRNA,404,Arabian Sea,"Mobula alfredi voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR675340.1,Sardinella longiceps,Actinopterygii,COI,680,Red Sea,"Sardinella longiceps voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR698801.1,Sphyrna lewini,Elasmobranchii,COI,647,Laccadive Sea,"Sphyrna lewini voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR306757.1,Chaetodon pictus,Actinopterygii,12S rRNA,395,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_557184,Pampus argenteus,Actinopterygii,12S rRNA,396,Gulf of Oman,"Pampus argenteus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR375003.1,Galeocerdo cuvier,Elasmobranchii,CYTB,1001,Indian Ocean,"Galeocerdo cuvier voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR503023.1,Pempheris rhomboidea,Actinopterygii,Control Region,876,Western Indian Ocean,"Pempheris rhomboidea voucher specimen from Western Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR868712.1,Katsuwonus pelamis,Actinopterygii,16S rRNA,543,Arabian Sea,"Katsuwonus pelamis voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR434839.1,Epinephelus coioides,Actinopterygii,Control Region,878,Red Sea,"Epinephelus coioides voucher specimen from Red Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR553736.1,Pampus argenteus,Actinopterygii,12S rRNA,415,Gulf of Oman,"Pampus argenteus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR884411.1,Sphyrna lewini,Elasmobranchii,COI,698,Gulf of Oman,"Sphyrna lewini voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR360383.1,Mobula alfredi,Elasmobranchii,COI,712,Western Indian Ocean,"Mobula alfredi voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR555580.1,Carcharhinus limbatus,Elasmobranchii,16S rRNA,527,Gulf of Oman,"Carcharhinus limbatus voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR982887.1,Katsuwonus pelamis,Actinopterygii,COI,629,Bay of Bengal,"Katsuwonus pelamis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_184997,Sphyrna lewini,Elasmobranchii,COI,652,Red Sea,"Sphyrna lewini voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR781833.1,Pampus argenteus,Actinopterygii,COI,604,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR838306.1,Chaetodon pictus,Actinopterygii,COI,619,Indian Ocean,"Chaetodon pictus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR945942.1,Sarda orientalis,Actinopterygii,12S rRNA,399,Arabian Sea,"Sarda orientalis voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR148486.1,Sardinella longiceps,Actinopterygii,12S rRNA,416,Laccadive Sea,"Sardinella longiceps voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR999755.1,Sphyrna lewini,Elasmobranchii,12S rRNA,443,Red Sea,"Sphyrna lewini voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR930214.1,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,402,Gulf of Oman,"Lutjanus argentimaculatus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR228966.1,Carcharhinus falciformis,Elasmobranchii,COI,608,Gulf of Oman,"Carcharhinus falciformis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR843239.1,Carcharhinus falciformis,Elasmobranchii,COI,670,Red Sea,"Carcharhinus falciformis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR398457.1,Pempheris rhomboidea,Actinopterygii,CYTB,1076,Laccadive Sea,"Pempheris rhomboidea voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
